Date,Name / Description,Amount,Expense/Income
2025-01-05,Salary,75000.00,Income
2025-01-07,House Rent,25000.00,Expense
2025-01-09,Swiggy,920.00,Expense
2025-01-12,Electricity Provider,3300.00,Expense
2025-01-15,Freelance Client,18000.00,Income
2025-01-18,Petrol Station,2300.00,Expense
2025-01-20,Amazon,4870.00,Expense
2025-01-23,Mobile Recharge,999.00,Expense
2025-01-26,Swiggy,1350.00,Expense
2025-01-29,Stock Dividend,4100.00,Income
2025-01-31,Gym,2500.00,Expense
2025-02-03,Salary,75000.00,Income
2025-02-05,House Rent,25000.00,Expense
2025-02-08,Internet Provider,1199.00,Expense
2025-02-10,Uber,1800.00,Expense
2025-02-13,Big Bazaar,7200.00,Expense
2025-02-15,Freelance Client,22000.00,Income
2025-02-17,Petrol Station,2100.00,Expense
2025-02-19,Restaurant,7800.00,Expense
2025-02-22,Mobile Recharge,999.00,Expense
2025-02-25,Electricity Provider,3100.00,Expense
2025-02-27,Stock Dividend,3900.00,Income
2025-03-01,Salary,78000.00,Income
2025-03-03,House Rent,25000.00,Expense
2025-03-06,DMart,8900.00,Expense
2025-03-09,Petrol Station,2900.00,Expense
2025-03-11,Freelance Client,16500.00,Income
2025-03-14,Electricity Provider,3500.00,Expense
2025-03-17,Amazon,36999.00,Expense
2025-03-19,Internet Provider,1199.00,Expense
2025-03-21,Swiggy,4200.00,Expense
2025-03-24,Mobile Recharge,999.00,Expense
2025-03-27,Mutual Fund,9800.00,Income
2025-03-29,Clinic,3800.00,Expense